TimeLine,ChannelCode,RiskRating,Applications,Approvals,AvgApprovalAmount,Listings,AvgListingsAmount,Loans,AvgLoanAmount
1/8/2014,Direct Mail,E,5,5,14997.0008,5,6198.760448,5,6198.760448
1/8/2014,Direct Mail,HR,1,1,17982.01898,1,3996.004995,1,3996.004995
1/8/2014,Direct Mail,N/A,591,266,21324.73187,0,NULL,0,NULL
1/8/2014,DirectToSite,A,22,22,16908.32239,18,11471.58497,14,12713.37769
1/8/2014,DirectToSite,AA,12,12,16665.27798,11,11271.70266,6,14330.94501
1/8/2014,DirectToSite,B,22,22,21430.8441,17,16263.74925,16,15717.7677
1/8/2014,DirectToSite,C,44,44,18760.93727,31,11435.11503,22,12453.97941
1/8/2014,DirectToSite,D,5,5,11997.60068,3,9996.668111,2,9995.002999
1/8/2014,DirectToSite,E,11,11,15044.08699,9,6221.531052,7,4856.449222
1/8/2014,DirectToSite,HR,5,5,7398.520496,4,3499.125469,3,3665.445185
1/8/2014,DirectToSite,N/A,724,149,18457.25868,0,NULL,0,NULL
1/8/2014,Email,A,21,21,17713.44226,14,12713.37769,13,12537.49719
1/8/2014,Email,AA,12,12,18665.11132,8,13123.35971,5,13097.38072
1/8/2014,Email,B,39,39,17220.07131,21,13051.75949,14,13720.44861
1/8/2014,Email,C,38,38,21420.48896,23,12629.8857,14,12034.85472
1/8/2014,Email,D,10,10,17298.27027,8,9998.750281,6,8498.583736
1/8/2014,Email,E,9,9,12331.96323,6,6915.514248,6,5749.041993
1/8/2014,Email,N/A,414,151,19195.23712,0,NULL,0,NULL
1/8/2014,OC,N/A,1,0,NULL,0,NULL,0,NULL
1/8/2014,Partner,A,28,28,14006.64266,24,11237.03183,11,12226.16135
1/8/2014,Partner,AA,8,8,15023.12223,5,10997.80064,3,14328.55748
1/8/2014,Partner,B,18,18,16781.34554,12,12052.74569,8,10829.27147
1/8/2014,Partner,C,40,40,15284.44291,27,10532.68401,21,10707.82348
1/8/2014,Partner,D,7,7,14369.37595,4,9435.141465,2,11869.06597
1/8/2014,Partner,E,12,12,9790.850846,7,5942.008427,4,5498.625594
1/8/2014,Partner,N/A,1170,279,14630.19774,0,NULL,0,NULL
1/9/2014,Digital,A,4,4,21744.56411,3,17660.78007,2,8995.502749
1/9/2014,Digital,AA,1,1,17982.01898,1,11988.01299,0,NULL
1/9/2014,Digital,B,3,3,23825.39187,1,14985.01598,1,14985.01598
1/9/2014,Digital,C,13,13,19036.99723,10,10498.9502,8,10623.67217
1/9/2014,Digital,D,5,5,11997.60068,4,6498.375656,0,NULL
1/9/2014,Digital,E,4,4,13496.62609,4,6498.375656,1,3996.004995
1/9/2014,Digital,HR,1,1,7492.508492,1,3996.004995,0,NULL
1/9/2014,Digital,N/A,120,29,17999.37937,0,NULL,0,NULL
1/9/2014,Direct Mail,A,53,53,21810.90925,36,16162.74551,25,14354.42586
1/9/2014,Direct Mail,AA,9,9,25663.81524,7,16997.57192,4,18745.31392
1/9/2014,Direct Mail,B,52,52,22720.71693,30,14666.17783,19,15314.98347
1/9/2014,Direct Mail,C,51,51,20197.6432,40,12099.69753,26,10772.66263
1/9/2014,Direct Mail,D,12,12,21831.51412,7,10998.42894,5,8598.280544
1/9/2014,Direct Mail,E,8,8,14060.74253,6,7457.090652,5,7548.490502
1/9/2014,Direct Mail,N/A,551,263,21227.12462,0,NULL,0,NULL
1/9/2014,DirectToSite,A,13,13,18306.28421,9,12276.41384,5,11397.72066
1/9/2014,DirectToSite,AA,9,9,16998.11143,7,9927.153407,3,8663.779074
1/9/2014,DirectToSite,B,25,25,19596.45618,15,14455.70302,11,12439.77829
1/9/2014,DirectToSite,C,29,29,17801.06551,20,11849.40758,9,11387.62371
1/9/2014,DirectToSite,D,18,18,17554.58036,12,8374.302225,5,10497.90062
1/9/2014,DirectToSite,E,9,9,13665.14843,8,4499.437695,6,3666.055824
1/9/2014,DirectToSite,HR,1,1,3996.004995,1,3496.504496,1,1998.002997
1/9/2014,DirectToSite,N/A,601,107,18597.47106,0,NULL,0,NULL
1/9/2014,Email,A,4,4,18870.28268,1,19980.02098,1,19980.02098
1/9/2014,Email,AA,6,6,18830.19513,6,13247.7922,6,13247.7922
1/9/2014,Email,B,22,22,15908.36785,12,10040.83001,9,10109.98789
1/9/2014,Email,C,25,25,15519.37926,19,11604.65244,11,9908.190255
1/9/2014,Email,D,4,4,11747.06348,4,6998.250687,4,6998.250687
1/9/2014,Email,N/A,154,44,17158.70096,0,NULL,0,NULL
1/9/2014,OC,N/A,1,0,NULL,0,NULL,0,NULL
1/9/2014,Partner,A,39,39,14296.73601,25,10193.15231,17,8784.130404
1/9/2014,Partner,AA,17,17,15716.01676,7,12383.94529,2,11844.07846
1/9/2014,Partner,B,20,20,16081.69597,15,11940.80401,9,11290.30119
1/9/2014,Partner,C,34,34,13823.03465,27,9436.687567,16,8599.462596
1/9/2014,Partner,D,13,13,12554.80355,11,8453.77702,6,8081.986502
1/9/2014,Partner,E,14,14,11263.76695,10,6299.370163,7,6141.97986
1/9/2014,Partner,N/A,1140,242,14632.41718,0,NULL,0,NULL
1/10/2014,Digital,A,1,1,7992.008991,1,4995.005994,1,6243.757243
1/10/2014,Digital,B,4,4,19745.06398,3,11996.00167,2,12993.50375
1/10/2014,Digital,C,9,9,19031.21886,6,10714.88102,4,12771.8073
1/10/2014,Digital,D,4,4,18495.37641,3,8997.001333,2,9495.252874
1/10/2014,Digital,E,2,2,22488.75612,2,6996.502249,2,6996.502249
1/10/2014,Digital,N/A,83,18,20123.32654,0,NULL,0,NULL
1/10/2014,Direct Mail,A,43,43,24022.69717,30,16649.44505,19,16183.35882
1/10/2014,Direct Mail,AA,8,8,23997.0005,6,17830.36177,5,17396.5209
1/10/2014,Direct Mail,B,38,38,22433.62019,23,16216.68627,16,13936.62902
1/10/2014,Direct Mail,C,44,44,22783.57312,26,12845.65982,15,9666.022332
1/10/2014,Direct Mail,D,7,7,13783.74532,5,10397.92062,4,10497.37591
1/10/2014,Direct Mail,E,7,7,16140.55149,6,8998.500417,4,9997.500875
1/10/2014,Direct Mail,N/A,494,206,20943.31096,0,NULL,0,NULL
1/10/2014,DirectToSite,A,16,16,19498.78139,13,15921.85224,11,14180.52913
1/10/2014,DirectToSite,AA,7,7,19223.7996,3,11329.55715,3,11329.55715
1/10/2014,DirectToSite,B,26,26,21518.40318,21,14737.39351,17,14440.3271
1/10/2014,DirectToSite,C,34,34,16514.16138,25,11439.54246,14,10534.96186
1/10/2014,DirectToSite,D,11,11,13862.37624,8,8748.906512,8,8748.906512
1/10/2014,DirectToSite,E,5,5,12197.56069,2,9995.002999,1,9990.010989
1/10/2014,DirectToSite,HR,1,1,4995.005994,1,3996.004995,1,3996.004995
1/10/2014,DirectToSite,N/A,542,93,19709.4655,0,NULL,0,NULL
1/10/2014,Email,A,4,4,20244.93902,4,11747.06348,3,10329.89037
1/10/2014,Email,AA,2,2,11994.0035,1,14985.01598,1,14985.01598
1/10/2014,Email,B,5,5,15396.92082,3,10163.27924,3,10163.27924
1/10/2014,Email,C,10,10,19398.06029,7,12855.30653,5,13597.28074
1/10/2014,Email,E,2,2,18490.75512,2,8495.752624,1,6993.007992
1/10/2014,Email,N/A,68,24,19457.52264,0,NULL,0,NULL
1/10/2014,OC,D,1,1,4995.005994,1,2997.003996,0,NULL
1/10/2014,Partner,A,34,34,16749.76268,23,13159.80527,16,12890.04943
1/10/2014,Partner,AA,7,7,20997.00057,5,15396.92082,2,10994.50325
1/10/2014,Partner,B,23,23,19325.24677,17,16646.0797,10,19398.06029
1/10/2014,Partner,C,36,36,16915.89125,24,11601.93329,11,13290.42823
1/10/2014,Partner,D,13,13,11397.35413,10,8249.175182,4,4123.969258
